state,plantCode,Longitude,Latitude,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01
FL,619,-80.0525,26.7653,2938400.0,2619036.0,2182462.0,3553062.0,4122925.0,3902862.0,4161808.0,3715412.0,4277350.0,3746966.0,3211096.0,3016888.0,2134898.0,3254645.0,3792783.0,3384219.0,3610237.0,3748187.0,4202188.0,4373208.0,3996852.0,3952170.0,3559243.0,2202817.0,2539651.0,2078429.0,2367508.0,0.0,3649802.0,3732773.0,3973171.0,4231751.0,3766639.0,4339915.0,2740596.0,3332626.0,2720984.0,3047134.0,4322226.0,3859932.0,4196866.0,4110642.0,4464756.0,4481550.0,3060328.0,3366014.0,3256009.0,3105675.0,2888289.0,2859453.0,3832232.0,3927541.0,3319839.0,4257326.0,5056497.0,4696113.0,4523418.0,4567480.0,3693708.0
FL,617,-80.1253,26.0856,3234738.0,2192133.0,2969392.0,4038332.0,4525165.0,4432408.0,4287663.0,3946513.0,4230813.0,4863912.0,4180051.0,4159898.0,3386092.0,2600400.0,3232569.0,3748086.0,1692112.0,4298613.0,4564563.0,4484176.0,3776094.0,3484500.0,3128547.0,3036636.0,2752965.0,3096507.0,2562534.0,664290.0,4531781.0,4431999.0,4475042.0,4584168.0,3950635.0,4555831.0,4546212.0,4858465.0,5523145.0,4821298.0,2815492.0,4118553.0,3818819.0,3771362.0,4324774.0,4188081.0,3872436.0,3586636.0,3645967.0,3385813.0,2900121.0,3492916.0,1704624.0,3281734.0,4146267.0,3753758.0,4426021.0,4148572.0,3906231.0,4106903.0,1780074.0
FL,564,-81.1678,28.4822,992478.0,1131936.0,1142208.0,771097.0,1046641.0,1306440.0,918225.0,1614409.0,1261706.0,1120118.0,1257988.0,1781745.0,1689659.0,1614818.0,1682242.0,1550870.0,1750289.0,1504156.0,1992094.0,1340958.0,1064658.0,536432.0,1297319.0,900813.0,401023.0,1003056.0,533880.0,1308903.0,1289498.0,1463469.0,2055870.0,2053668.0,944052.0,1034749.0,1506245.0,1630545.0,1905319.0,1660193.0,1675144.0,1309213.0,2150184.0,2082134.0,2145019.0,2096759.0,2026551.0,1361988.0,1576505.0,2096676.0,1786476.0,1321679.0,1877742.0,1420271.0,2143270.0,2003728.0,1465320.0,1631218.0,1328043.0,1728888.0,1876659.0
FL,55415,-81.923951,27.523607,192018.0,157983.0,305225.0,622292.0,1284616.0,1220511.0,764504.0,1088875.0,933863.0,1315440.0,473713.0,158021.0,27106.0,261901.0,0.0,67146.0,607720.0,1117647.0,682986.0,575577.0,287212.0,968893.0,541726.0,784226.0,97984.0,422412.0,808165.0,848478.0,1128059.0,1710151.0,1417684.0,1639514.0,1819513.0,1393050.0,180140.0,592060.0,142675.0,278502.0,597316.0,705049.0,2494174.0,2390412.0,2576100.0,2400143.0,2114939.0,914570.0,425721.0,468643.0,367677.0,256813.0,590007.0,1024429.0,586604.0,775850.0,1035188.0,1459538.0,740785.0,284987.0,199590.0
FL,609,-80.7644,28.4698,3965951.0,3060231.0,4074399.0,3598637.0,4447085.0,4552818.0,3780313.0,3109634.0,3909247.0,2909277.0,2661447.0,3105940.0,4084337.0,3964343.0,4129188.0,2155753.0,3161560.0,3958178.0,3863999.0,4360756.0,4080100.0,2539625.0,1142466.0,4170517.0,3251892.0,2709661.0,3449959.0,3388181.0,4109874.0,3177222.0,3353748.0,3953365.0,3623719.0,3516349.0,2321448.0,2435685.0,2138041.0,1849964.0,2145837.0,2611066.0,3824590.0,4086369.0,4624894.0,4657702.0,4136676.0,429129.0,618155.0,4255436.0,3822696.0,3841446.0,3980206.0,4070478.0,3693069.0,4046289.0,4752212.0,4460362.0,4047774.0,2545962.0,3293539.0
FL,7380,-81.9625,27.641667,2636350.0,1725588.0,2709522.0,2440404.0,2156072.0,2628360.0,2721182.0,2836004.0,2362284.0,449934.0,1928528.0,2718170.0,2775767.0,2715591.0,2829523.0,2135261.0,2761289.0,2762025.0,2769970.0,2712121.0,2401693.0,2605359.0,2121199.0,2795823.0,2782512.0,2057509.0,2168007.0,2580173.0,2688671.0,2760415.0,2896286.0,2819588.0,2641400.0,1292608.0,2646325.0,2696034.0,2639810.0,1279488.0,2387395.0,1992308.0,2593164.0,2725136.0,2959408.0,2745725.0,2347778.0,2353883.0,1446062.0,2232120.0,1972909.0,1814487.0,2633062.0,1985347.0,1796585.0,2478693.0,2243159.0,2636174.0,2155994.0,125518.0,15360.0
FL,7242,-81.9897,27.7286,4849008.0,2674016.0,4176805.0,2461869.0,4257365.0,3989952.0,4541277.0,5022664.0,4767271.0,4748353.0,3365827.0,4377187.0,4560872.0,4171910.0,5311782.0,4465384.0,4108706.0,4595106.0,4221666.0,3844193.0,3006433.0,2783567.0,2871128.0,3538624.0,3739110.0,263765.0,2751835.0,3527896.0,4031479.0,3923324.0,4353966.0,4187662.0,4174889.0,3844540.0,1860717.0,3887974.0,4499616.0,3544529.0,2393632.0,4993876.0,4105246.0,4787777.0,5250024.0,4758302.0,4754447.0,4539344.0,4142632.0,2977998.0,3097743.0,2751969.0,3151886.0,4179740.0,4189680.0,3782065.0,3967593.0,4141785.0,2241070.0,3423147.0,3103705.0
FL,10434,-82.051937,27.833642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,643,-85.7003,30.2686,2486782.0,2411677.0,2189812.0,1264649.0,973555.0,1357688.0,2330542.0,3111729.0,2992019.0,3043939.0,1684307.0,2984637.0,3057441.0,2670116.0,2203430.0,2598084.0,3044062.0,3008566.0,3117038.0,2949902.0,2736639.0,3248232.0,3126489.0,2385281.0,2848550.0,2719499.0,2787133.0,1841419.0,2898708.0,2841702.0,3087302.0,3096139.0,2900285.0,2755618.0,2628966.0,1675052.0,2930075.0,2431963.0,1785125.0,2758373.0,2930661.0,2869709.0,2635118.0,3020146.0,2626850.0,2324472.0,2633784.0,2274681.0,2802425.0,2649439.0,585954.0,2739385.0,2322341.0,2585195.0,2969425.0,2940636.0,2852165.0,1352121.0,2029339.0
FL,641,-87.2244,30.5661,15881.0,6788.0,87278.0,11366.0,28184.0,13831.0,43746.0,154317.0,362121.0,142910.0,31393.0,120659.0,149561.0,636561.0,35533.0,58298.0,188569.0,323160.0,910346.0,1316711.0,645120.0,0.0,204679.0,353216.0,2621369.0,2861877.0,1185725.0,12335.0,720323.0,1826434.0,2699498.0,2651045.0,2300201.0,1659542.0,0.0,0.0,1656294.0,511620.0,0.0,134029.0,2028847.0,2433090.0,3123322.0,2146764.0,1690553.0,1304219.0,663554.0,1517013.0,824822.0,320285.0,2261039.0,808480.0,2178150.0,3107300.0,4054737.0,4750123.0,3283835.0,2876220.0,1368850.0
