period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude,LATITUDE,LONGITUDE,DATE,TEMP,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP
2023-11-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,109301,MMBtu per Mcf,114875,0.0,0.0,0,Mcf,0,1.051,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2023-11-01,39.82666666666667,7.89,13.073333333333332,0.0,47.45333333333333,33.81333333333333,0.0,0.0
2020-04-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,30712,MMBtu per Mcf,32309,0.0,0.0,0,Mcf,0,1.052,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-04-01,47.4,6.7,18.1,0.0,49.3,43.3,0.0,0.0
2020-05-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-05-01,49.13548387096775,8.083870967741936,15.219354838709679,0.0,56.9741935483871,44.44193548387097,0.0,0.0
2023-09-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,97465,MMBtu per Mcf,102338,0.0,0.0,0,Mcf,0,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2023-09-01,64.43666666666667,6.766666666666667,12.44,0.0,70.45,58.769999999999996,0.0,0.0
2019-10-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,96969,MMBtu per Mcf,102496,0.0,0.0,0,Mcf,0,1.057,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2019-10-01,51.23225806451613,8.951612903225806,15.441935483870967,0.0,57.987096774193546,46.667741935483875,0.0,0.0
2022-08-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2022-08-01,71.16666666666667,8.333333333333334,15.0,0.0,79.86666666666667,65.43333333333334,0.0,0.0
2023-05-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2023-05-01,53.0551724137931,8.662068965517241,15.686206896551726,0.0,59.96551724137931,47.689655172413794,0.0,0.0
2021-02-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,91520,MMBtu per Mcf,96462,0.0,0.0,0,Mcf,0,1.054,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2021-02-01,23.448,10.252,16.096,0.0,28.66,18.736,0.0,0.0
2019-11-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,83262,MMBtu per Mcf,88008,0.0,0.0,0,Mcf,0,1.057,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2019-11-01,34.79333333333333,8.623333333333333,14.893333333333334,0.0,40.013333333333335,30.956666666666667,0.0,0.0
2020-02-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,76212,MMBtu per Mcf,80175,0.0,0.0,0,Mcf,0,1.052,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-02-01,27.71034482758621,9.748275862068965,16.658620689655173,0.0,33.14137931034483,23.217241379310344,0.0,0.0
